"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","correct_response","is_correct"
"153210","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with SOA -- 4 Colors.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","h","html-keyboard-response","0","153223","0.0-0.0","","","","","","","","","","","",""
"11775","
		<div style=""width:800px"">
			<p>You will see text in 4 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key B</li><li style=""color:Red"">Red - key R</li><li style=""color:Green"">Green - key G</li><li style=""color:Yellow"">Yellow - key Y</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press B key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>Here is a tip, you can place your figures on the keys to have a better performance.</p>
			<p>For instance, left middle figure on R; left index figure on B; right index figure on G; and right middle figure on Y</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ","g","html-keyboard-response","1","165003","0.0-1.0","","","","","","","","","","","",""
"8628","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>You can press S if you do not catch the blink color.</p>
  		<p>Press any key to begin.</p>
  	</div>
  	","g","html-keyboard-response","2","173638","0.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","174144","0.0-3.0-0.0","fixation","","","","","","","","","","",""
"663","","y","psychophysics","4","175346","0.0-3.0-1.0","response","key","y","16.682999999999925","500","400","Yellow","Blue","false","300","Y","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","5","175851","0.0-3.0-2.0","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","176358","0.0-3.0-0.1","fixation","","","","","","","","","","",""
"562","","r","psychophysics","7","177445","0.0-3.0-1.1","response","key","r","16.68741176470597","500","400","Red","Green","false","100","R","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","8","177955","0.0-3.0-2.1","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","178468","0.0-3.0-0.2","fixation","","","","","","","","","","",""
